Species.pre,Species_found.pre,MPA.pre,Edge.pre,Outside.pre,Species_found.post,MPA.post,Edge.post,Outside.post,Habitat,Graham_2004,Native,Likely Species,Domain,Phylum,Class,Order,Family,Genus,Species
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,pelagic-neritic,forest,Yes,0,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Atherinops,Atherinops affinis
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,pelagic-neritic,no,Yes,0,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,Sardinops sagax
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,pelagic-neritic,no,Yes,0,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,pelagic-neritic,no,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Sphyraenidae,Sphyraena,Sphyraena argentea
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,pelagic-oceanic,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax mordax
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Clinidae,Heterostichus,Heterostichus rostratus
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Girella,Girella nigricans
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Medialuna,Medialuna californiensis
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,no,Yes,0,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus,Chordata,Actinopteri,Labriformes,Labridae,,
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres semicinctus
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Oxyjulis,Oxyjulis californica
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Semicossyphus,Semicossyphus pulcher
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Embiotoca;Embiotoca jacksoni,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Embiotocidae,Embiotoca,Embiotoca jacksoni
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Rhacochilus;Rhacochilus vacca,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Embiotocidae,Rhacochilus,Rhacochilus vacca
Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Caulolatilus;Caulolatilus princeps,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Malacanthidae,Caulolatilus,Caulolatilus princeps
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis;Chromis punctipinnis,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Pomacentridae,Chromis,Chromis punctipinnis
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Pomacentridae,Hypsypops,Hypsypops rubicundus
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Paralabrax,Paralabrax clathratus
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cheilotrema;Cheilotrema saturnum,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,sandybottom,no,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Cheilotrema,Cheilotrema saturnum
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,sandybottom,no,Yes,0,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus
Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica,Common_species,MPA,Edge,Outside,Common_species,MPA,Edge,Outside,sandybottom,ubiquitous,Yes,0,Eukaryota,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis californica
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Xystreurys;Xystreurys liolepis,Edge_mpa_species_common,MPA,Edge,0,Edge_mpa_species_common,MPA,Edge,0,sandybottom,no,Yes,0,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Xystreurys,Xystreurys liolepis
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Alloclinus;Alloclinus holderi,Common_species,MPA,Edge,Outside,Edge_species_unique,0,Edge,0,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Alloclinus,Alloclinus holderi
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Chitonotus;Chitonotus pugetensis,Edge_species_unique,0,Edge,0,Edge_species_unique,0,Edge,0,sandybottom,no,Yes,0,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Chitonotus,Chitonotus pugetensis
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Rhacochilus;Rhacochilus toxotes,Common_species,MPA,Edge,Outside,Mpa_species_unique,MPA,0,0,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Embiotocidae,Rhacochilus,Rhacochilus toxotes
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys californicus,Common_species,MPA,Edge,Outside,Mpa_species_unique,MPA,0,0,sandybottom,no,Yes,0,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys californicus
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys decurrens,Common_species,MPA,Edge,Outside,Mpa_species_unique,MPA,0,0,sandybottom,no,Yes,0,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys decurrens
Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena guttata,Edge_mpa_species_common,MPA,Edge,0,Mpa_species_unique,MPA,0,0,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaena,Scorpaena guttata
Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota,Edge_mpa_species_common,MPA,Edge,0,Mpa_species_unique,MPA,0,0,sandybottom,no,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Chaenopsidae,Chaenopsis,Chaenopsis alepidota
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;Cheilopogon pinnatibarbatus,Common_species,MPA,Edge,Outside,Outside_edge_species_common,0,Edge,Outside,pelagic-oceanic,no,Yes,0,Eukaryota,Chordata,Actinopteri,Beloniformes,Exocoetidae,Cheilopogon,Cheilopogon pinnatibarbatus
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Rhinogobiops;Rhinogobiops nicholsii,Common_species,MPA,Edge,Outside,Outside_edge_species_common,0,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Rhinogobiops,Rhinogobiops nicholsii
Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas,Common_species,MPA,Edge,Outside,Outside_edge_species_common,0,Edge,Outside,rockyreef,no,Yes,0,Eukaryota,Chordata,Actinopteri,Pempheriformes,Polyprionidae,Stereolepis,Stereolepis gigas
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;,Common_species,MPA,Edge,Outside,Outside_edge_species_common,0,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus,Common_species,MPA,Edge,Outside,Outside_edge_species_common,0,Edge,Outside,sandybottom,no,Yes,0,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi,Outside_edge_species_common,0,Edge,Outside,Outside_edge_species_common,0,Edge,Outside,rockyreef,no,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Blenniidae,Hypsoblennius,Hypsoblennius jenkinsi
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia montereyensis,Outside_edge_species_common,0,Edge,Outside,Outside_edge_species_common,0,Edge,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Clinidae,Gibbonsia,Gibbonsia montereyensis
Eukaryota;Chordata;Actinopteri;Perciformes;Hexagrammidae;Oxylebius;Oxylebius pictus,Outside_edge_species_common,0,Edge,Outside,Outside_edge_species_common,0,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Perciformes,Hexagrammidae,Oxylebius,Oxylebius pictus
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes;Balistes polylepis,Outside_edge_species_common,0,Edge,Outside,Outside_edge_species_common,0,Edge,Outside,rockyreef,no,Yes,0,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Balistes,Balistes polylepis
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;,Common_species,MPA,Edge,Outside,Outside_mpa_species_common,0,Edge,Outside,rockyreef,no,Yes,0,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Girella,
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri,Common_species,MPA,Edge,Outside,Outside_mpa_species_common,0,Edge,Outside,rockyreef,no,Yes,0,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Ruscarius,Ruscarius creaseri
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;,Common_species,MPA,Edge,Outside,Outside_mpa_species_common,0,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Paralabrax,
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Brachyistius;Brachyistius frenatus,Outside_mpa_species_common,MPA,0,Outside,Outside_mpa_species_common,0,Edge,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Embiotocidae,Brachyistius,Brachyistius frenatus
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;,Common_species,MPA,Edge,Outside,Outside_species_unique,0,0,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Clinidae,Gibbonsia,
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Chilara;Chilara taylori,Common_species,MPA,Edge,Outside,Outside_species_unique,0,0,Outside,sandybottom,no,Yes,0,Eukaryota,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Chilara,Chilara taylori
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys coenosus,Common_species,MPA,Edge,Outside,Outside_species_unique,0,0,Outside,sandybottom,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys coenosus
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon,Outside_edge_species_common,0,Edge,Outside,Outside_species_unique,0,0,Outside,intertidal,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Gobiesox,Gobiesox rhessodon
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;;,Outside_edge_species_common,0,Edge,Outside,Outside_species_unique,0,0,Outside,pelagic-neritic,no,Yes,0,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi,Outside_edge_species_common,0,Edge,Outside,Outside_species_unique,0,0,Outside,pelagic-neritic,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Seriola,Seriola lalandi
Eukaryota;Chordata;Chondrichthyes;Heterodontiformes;Heterodontidae;Heterodontus;Heterodontus francisci,Outside_edge_species_common,0,Edge,Outside,Outside_species_unique,0,0,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Chondrichthyes,Heterodontiformes,Heterodontidae,Heterodontus,Heterodontus francisci
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum,Outside_mpa_species_common,MPA,0,Outside,Outside_species_unique,0,0,Outside,rockyreef,no,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Rimicola,Rimicola muscarum
Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaenodes;Scorpaenodes xyris,Outside_mpa_species_common,MPA,0,Outside,Outside_species_unique,0,0,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaenodes,Scorpaenodes xyris
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis,Outside_species_unique,0,0,Outside,Outside_species_unique,0,0,Outside,intertidal,no,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Paraclinus,Paraclinus integripinnis
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Neoclinus;Neoclinus blanchardi,Common_species,MPA,Edge,Outside,Empty,0,0,0,sandybottom,no,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Neoclinus,Neoclinus blanchardi
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;;,Edge_mpa_species_common,MPA,Edge,0,Empty,0,0,0,pelagic-neritic,no,Yes,0,Eukaryota,Chordata,Mammalia,Artiodactyla,Delphinidae,,
Eukaryota;Chordata;Actinopteri;Perciformes;;;,Edge_mpa_species_common,MPA,Edge,0,Empty,0,0,0,rockyreef,no,Yes,0,Eukaryota,Chordata,Actinopteri,Perciformes,,,
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps,Edge_mpa_species_common,MPA,Edge,0,Empty,0,0,0,sandybottom,no,Yes,0,Eukaryota,Chordata,Actinopteri,Aulopiformes,Synodontidae,Synodus,Synodus lucioceps
Eukaryota;Chordata;Chondrichthyes;Chimaeriformes;Chimaeridae;Hydrolagus;Hydrolagus colliei,Edge_species_unique,0,Edge,0,Empty,0,0,0,demersal,no,Yes,0,Eukaryota,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Clinocottus;Clinocottus analis,Edge_species_unique,0,Edge,0,Empty,0,0,0,intertidal,no,Yes,0,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Clinocottus,Clinocottus analis
Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Strongylura;Strongylura exilis,Edge_species_unique,0,Edge,0,Empty,0,0,0,pelagic-neritic,no,Yes,0,Eukaryota,Chordata,Actinopteri,Beloniformes,Belonidae,Strongylura,Strongylura exilis
Eukaryota;Chordata;Actinopteri;Osmeriformes;Osmeridae;Spirinchus;Spirinchus starksi,Edge_species_unique,0,Edge,0,Empty,0,0,0,pelagic-neritic,no,Yes,0,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Spirinchus,Spirinchus starksi
Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;,Edge_species_unique,0,Edge,0,Empty,0,0,0,pelagic-neritic,no,Yes,0,Eukaryota,Chordata,Aves,Charadriiformes,Laridae,Larus,
Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;Icichthys;Icichthys lockingtoni,Edge_species_unique,0,Edge,0,Empty,0,0,0,pelagic-oceanic,no,Yes,0,Eukaryota,Chordata,Actinopteri,Scombriformes,Centrolophidae,Icichthys,Icichthys lockingtoni
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Microspathodon;,Edge_species_unique,0,Edge,0,Empty,0,0,0,rockyreef,no,mismatch,Hypsypops rubicundus,Eukaryota,Chordata,Actinopteri,NA,Pomacentridae,Microspathodon,
Eukaryota;Chordata;Actinopteri;Perciformes;Bathymasteridae;Rathbunella;Rathbunella hypoplecta,Edge_species_unique,0,Edge,0,Empty,0,0,0,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Perciformes,Bathymasteridae,Rathbunella,Rathbunella hypoplecta
