sum.taxonomy,Edge,MPA,Outside,Taylor
,1,0.6908679034028731,0.5503593037508665,0.6159071038185387
Eukaryota;Chordata;Actinopteri;;;;,0,0,0,1
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0,0,1,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,1,0.48224639464830926,0.7842568265081323,0.1893958810468454
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca,0.4459688086119579,0.24442058440003137,1,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Azurina;Azurina hirundo,0,0,0,1
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;,0,0,0,1
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis alta,0,0,0,1
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis,1,0.23032363747231557,0.33259489809926956,0.15583047263212993
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus,0,0.8542296557693166,1,0.485884574245899
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Luvaridae;Luvarus;Luvarus imperialis,0,0,0,1
Eukaryota;Chordata;Actinopteri;Anguilliformes;;;,0,0,1,0.9743462501742282
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax,0.39604428184789553,0.2799454573021761,1,0.6831664937613331
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Facciolella;Facciolella gilbertii,0,0,1,0.33253417155843557
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis,0.563964346165405,0.23669896082510758,1,0.4954038794858447
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis,0,0,0,1
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps,1,0.4895321466540515,0,0
Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Cololabis;Cololabis saira,0,0,0,1
Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Strongylura;Strongylura exilis,1,0,0,0
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;Cheilopogon pinnatibarbatus,0.7652546757474199,0.34088533690802114,0.6066340572667053,1
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi,0.5918190204373995,0,0.5171887433183617,1
Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota,1,0.08016628622993123,0,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;,0.22036675096852437,0.06164303373955972,0.32606596574967234,1
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia montereyensis,1,0,0.9067234116563757,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus,0.32543447104122103,1,0.4548588592961254,0.39503139089986944
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon,0.9762598408372128,0,0.6825723052347703,1
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum,0,0.7512271900581848,1,0.4709100571671731
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Alloclinus;Alloclinus holderi,1,0.6516246745968622,0.08208824955770175,0.9074296080570038
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Labrisomus;Labrisomus xanti,0,0,0,1
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Neoclinus;Neoclinus blanchardi,1,0.4106504191502245,0.028875767437555468,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis,0,0,0.5530096520865753,1
