fishcard_12S_all_Little_Scorpion-A-1,fishcard_12S_all_Little_Scorpion-A-2,fishcard_12S_all_Little_Scorpion-A-3,fishcard_12S_all_Little_Scorpion-B-1,fishcard_12S_all_Little_Scorpion-B-2,fishcard_12S_all_Little_Scorpion-B-3,fishcard_12S_all_Little_Scorpion-C-1,fishcard_12S_all_Little_Scorpion-C-2,fishcard_12S_all_Little_Scorpion-C-3,fishcard_12S_all_Pedro_Reef-A-1,fishcard_12S_all_Pedro_Reef-A-2,fishcard_12S_all_Pedro_Reef-A-3,fishcard_12S_all_Pedro_Reef-B-1,fishcard_12S_all_Pedro_Reef-B-2,fishcard_12S_all_Pedro_Reef-B-3,fishcard_12S_all_Pedro_Reef-C-1,fishcard_12S_all_Pedro_Reef-C-2,fishcard_12S_all_Pedro_Reef-C-3,fishcard_12S_all_Potatoe_Pasture-A-1,fishcard_12S_all_Potatoe_Pasture-A-2,fishcard_12S_all_Potatoe_Pasture-A-3,fishcard_12S_all_Potatoe_Pasture-B-1,fishcard_12S_all_Potatoe_Pasture-B-2,fishcard_12S_all_Potatoe_Pasture-B-3,fishcard_12S_all_Potatoe_Pasture-C-1,fishcard_12S_all_Potatoe_Pasture-C-2,fishcard_12S_all_Potatoe_Pasture-C-3,fishcard_12S_all_T0.A,fishcard_12S_all_T0.B,fishcard_12S_all_T0.C,fishcard_12S_all_T1.A,fishcard_12S_all_T1.B,fishcard_12S_all_T1.C,fishcard_12S_all_T10.A,fishcard_12S_all_T10.B,fishcard_12S_all_T10.C,fishcard_12S_all_T11.A,fishcard_12S_all_T11.B,fishcard_12S_all_T11.C,fishcard_12S_all_T2.A,fishcard_12S_all_T2.B,fishcard_12S_all_T2.C,fishcard_12S_all_T3.A,fishcard_12S_all_T3.B,fishcard_12S_all_T3.C,fishcard_12S_all_T4.A,fishcard_12S_all_T4.B,fishcard_12S_all_T4.C,fishcard_12S_all_T5.A,fishcard_12S_all_T5.B,fishcard_12S_all_T5.C,fishcard_12S_all_T6.A,fishcard_12S_all_T6.B,fishcard_12S_all_T6.C,fishcard_12S_all_T7.A,fishcard_12S_all_T7.B,fishcard_12S_all_T7.C,fishcard_12S_all_T8.A,fishcard_12S_all_T8.B,fishcard_12S_all_T8.C,fishcard_12S_all_T9.A,fishcard_12S_all_T9.B,fishcard_12S_all_T9.C,sum.taxonomy
0.4179746323336605,0.07677500186689457,0.0255663525141954,0.04934471874082928,0.03468655513001411,0.009641267922869857,0.11930314087429349,0.22012196574477716,0.12917328658302746,0.23500660130902554,0.058852511516763975,0.1389075373817516,0.18902470419837503,0.09501964324931066,0.05613848498317354,0.16703019945582515,0.3210726878517772,0.4306515091999969,0.20588009149799127,0.1642844855896289,0.1669463087248322,0.34681657245791664,0.42527599007894695,0.5724652021901181,0.41204912935323385,0.11893199072330472,0.13103261671668223,0.13066327889995405,0.15752763172014164,0.11745390864425743,0.05109503172883455,0.12354985256673194,0.06569026694656217,0.10635044430388298,0.09972428514252679,0.048997020509977826,0.254769266670556,0.12473767722782413,0.3560374224009793,0.15653865653247379,0.19389211549341098,0.1286549338051755,0.287206852148125,0.22445009004373553,0.30868041391596807,0.13374505687643412,0.06280770221095769,0.1002930476960388,0,0.11305547384543602,0.10588984944886683,0.30233063289917217,0.09941822776916197,0.0013596655222815187,0.3079110719788686,0.06472918258547854,0.12973453598797346,0.29295410707136876,0.19451680480918115,0.12276060611955106,0.008252063015753939,0.27947784206043874,0.025439205700028295,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
0.018040561295204417,0.10525966429087047,0.07807469414037348,0.07972171124678801,0.09386010884902238,0.16446464868428282,0.05426772554911641,0.017949450915934157,0.13835533884840848,0.07536728559791005,0.011800064050452048,0.0923405553860238,0.07629570894561781,0.06078426587930993,0.13382595720363197,0.0944660565312226,0.02398107794397845,0.019557214045302956,0.04856505776291256,0.008694700298684849,0.03732662192393736,0.01576495434499037,0,0.004980539613430965,0.017319651741293532,0.013241094967194592,0,0,0,0,0,0,0,0.004446109347269389,9.449904389202651e-4,0,0,0,0,0.010506531031156872,0,0,0,0,0,0.006053800712786213,0.019246220711092634,0,0,0.009877570065018715,0,0,0,0,0.011287695355491966,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea
0.027959873236587576,0.05076293757934302,0.2511414856875256,0.06687376083486626,0.04362023785527112,0.11723342306213262,0.07275345209987837,0.11649872555325282,0.032476853120035065,0.04210792437989831,0.007858497770551573,0.016234360695758315,0,0.008808960249871892,0,0.007757864675856176,0.00482906638049977,0,0.03252407588951041,0.05824354543606424,0.06769574944071588,0.022821293248027827,0.016048762299998378,0.025331486245794576,0.026259328358208954,0.028226525798330987,0.04617011856151916,0.0030389503071772514,0.007235601612680698,0.0033321982779588462,0.0084352267450859,0.008141721680042721,0.02782997965474523,0,0.0022309186048235278,0.004321992793791574,0,0.004094794492501407,0,0.007386309771609696,0.063689540092075,0.03135644096179974,0.010877199828306084,0.04625996912786211,0.050390855886980626,0.0124249377532588,0.021281282088667874,0.10247827405012126,0.01717645029609613,0.020481402213273554,0.01855497541537086,0,0.026356169329361856,0.09309459872871274,0.009051287695355492,0.009283411939328468,0.031285520478128555,0.00491320013101867,0.007177338555423992,0.023692349588593436,0.011212262525090732,0.006397266844830793,0.008816266687244386,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0,0,0,0.0025338019196770476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;Icichthys;Icichthys lockingtoni
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004689044864076434,0,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus alalunga
0.2582017875738891,0.3428863019722704,0.34953608850904405,0.4172828195346107,0.41050594638177784,0.32522111739823106,0.2647206124347142,0.3356321017651683,0.3661644661151591,0.1537402736031911,0.2428990219988668,0.2117485505035093,0.17133324408654194,0.3773211976281691,0.228109721252143,0.1767219086595759,0.13236679003963994,0.049920284664617946,0.2129058301136036,0.1477708102021987,0.22599552572706935,0.07911050375799739,0.04656572697651045,0.04840358862721816,0.10419776119402985,0.17155939661836705,0.2608845378068579,0.09897247182116917,0.09671485291186976,0.06005253684876198,0.260989010989011,0.26260922057719543,0.10677862486778819,0.32653111355387837,0.256325877173478,0.25650464246119736,0.17327710501971047,0.2382351435737319,0.318842353764099,0.26807523154349966,0.37547296140012143,0.3032702455053872,0.3143949740508058,0.29483695652173914,0.1928055876990701,0.2821974320167944,0.38401856373061494,0.3009170371867421,0.5460673834301155,0.24254313449034862,0.4629233359011669,0.19440444297846893,0.2749755885417949,0.4127689588361263,0.22852740479859124,0.2543935920744078,0.4040809591904081,0.4734869163300215,0.2895527825849349,0.3420801805131397,0.22398167109344905,0.19194247843920395,0.06373948607145613,
0,0,5.122051161973892e-5,0,0,0,3.4878729341060314e-4,3.8114295242859525e-4,0,0,0,0,0.0010503660834732106,0,0,5.546685855201517e-4,0,0,0,7.037077579870831e-5,0,0,0,0,0,6.739479474320602e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys decurrens
0,0,0,0,0,0,0,0,9.313537500684819e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Strongylura;Strongylura exilis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005371059739495863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Oplegnathidae;Oplegnathus;Oplegnathus fasciatus
0,0,0,0,0,0,0,0,0.002651618911959678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1439408931987598e-4,0.0030161691542288558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps
